Datetime,outgoing_site_id,Total Calls,Traffic,Call Dropped,weather1,weather2,weather3,weather4
2017-01-01 00:00:00,1717,499,0,16,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-01 04:00:00,1717,554,1,44,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-01 08:00:00,1717,301,0,17,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-01 12:00:00,1717,514,0,16,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-01 16:00:00,1717,262,0,14,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-01 20:00:00,1717,587,0,15,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-02 00:00:00,1717,576,2,57,-0.036101166943421324,0.01733053380550776,0.2223107063051306,0.7493491567428523
2017-01-02 04:00:00,1717,544,0,16,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-02 08:00:00,1717,247,1,46,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-02 12:00:00,1717,378,1,37,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-02 16:00:00,1717,327,0,17,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-02 20:00:00,1717,642,0,15,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-03 00:00:00,1717,278,1,50,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-03 04:00:00,1717,315,1,43,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-03 08:00:00,1717,422,2,60,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-03 12:00:00,1717,626,1,44,-0.03529846118817775,0.01690677062798724,0.2097703688409103,0.5354496733638034
2017-01-03 16:00:00,1717,502,2,60,-0.03529846118817775,0.01690677062798724,0.2097703688409103,0.5354496733638034
2017-01-03 20:00:00,1717,320,2,63,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-04 00:00:00,1717,439,1,38,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-04 04:00:00,1717,496,1,51,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-04 08:00:00,1717,616,2,64,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-04 12:00:00,1717,466,1,34,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-05 04:00:00,1717,509,1,43,-0.03453067515720074,0.01650323638217755,0.19856926377857806,0.4165474463193885
2017-01-06 16:00:00,1717,581,1,39,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-06 20:00:00,1717,389,2,59,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-07 00:00:00,1717,396,1,32,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-07 04:00:00,1717,532,1,31,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-07 08:00:00,1717,540,1,29,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-07 12:00:00,1717,335,0,22,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-07 16:00:00,1717,387,1,27,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-07 20:00:00,1717,642,0,19,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-08 00:00:00,1717,343,2,57,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-08 04:00:00,1717,437,1,27,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-08 08:00:00,1717,344,0,22,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-08 12:00:00,1717,326,1,38,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-08 16:00:00,1717,406,0,20,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-08 20:00:00,1717,593,2,64,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-09 00:00:00,1717,527,2,52,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-09 04:00:00,1717,306,1,46,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-09 08:00:00,1717,605,1,34,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-09 12:00:00,1717,300,0,15,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-09 16:00:00,1717,498,2,63,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-09 20:00:00,1717,337,0,15,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-10 00:00:00,1717,605,0,25,-0.034530675157200756,0.01650323638217758,0.198569263778578,0.4165474463193886
2017-01-10 08:00:00,1717,611,0,25,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-10 12:00:00,1717,550,1,32,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-10 16:00:00,1717,612,1,51,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-10 20:00:00,1717,356,0,18,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-11 00:00:00,1717,576,1,45,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-11 04:00:00,1717,585,2,58,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-11 08:00:00,1717,323,2,62,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-11 12:00:00,1717,454,2,53,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-11 16:00:00,1717,358,0,24,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-11 20:00:00,1717,395,1,32,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-12 00:00:00,1717,594,1,29,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-12 04:00:00,1717,284,1,43,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-12 08:00:00,1717,285,1,39,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-12 12:00:00,1717,642,2,64,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-12 16:00:00,1717,315,0,24,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-12 20:00:00,1717,543,1,38,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-13 00:00:00,1717,361,1,38,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-13 04:00:00,1717,429,1,35,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-13 08:00:00,1717,274,0,21,-0.033795578714679135,0.016118516350066454,0.18850373293676562,0.34085664599292664
2017-01-13 12:00:00,1717,619,1,31,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-13 16:00:00,1717,500,2,62,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-13 20:00:00,1717,338,2,52,-0.033795578714679135,0.016118516350066454,0.18850373293676562,0.34085664599292664
2017-01-14 00:00:00,1717,279,0,16,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-14 04:00:00,1717,443,2,59,-0.033795578714679135,0.016118516350066454,0.18850373293676562,0.34085664599292664
2017-01-14 08:00:00,1717,377,2,62,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-14 12:00:00,1717,413,1,41,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-14 16:00:00,1717,377,0,13,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-14 20:00:00,1717,352,1,31,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-15 00:00:00,1717,509,2,62,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-15 04:00:00,1717,487,1,29,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-15 08:00:00,1717,410,1,45,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-15 12:00:00,1717,360,2,56,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-15 16:00:00,1717,622,1,50,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-15 20:00:00,1717,611,1,43,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-16 00:00:00,1717,326,0,17,-0.31914245709212613,0.7710478691520312,-0.16696646131230605,-0.05139717804522117
2017-01-16 04:00:00,1717,352,1,33,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-16 08:00:00,1717,241,0,20,-0.033795578714679135,0.016118516350066454,0.18850373293676562,0.34085664599292664
2017-01-16 12:00:00,1717,367,1,27,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-16 16:00:00,1717,472,2,58,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-16 20:00:00,1717,635,2,53,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-17 04:00:00,1717,322,0,19,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-17 08:00:00,1717,432,1,39,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-17 12:00:00,1717,551,0,24,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-17 16:00:00,1717,505,0,15,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-17 20:00:00,1717,579,0,23,0.7837102433326951,-0.11328899735161159,-0.12703918501076894,-0.043125744655922886
2017-01-18 00:00:00,1717,374,1,40,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
2017-01-18 04:00:00,1717,624,2,54,-0.5337391319769023,-0.6267188121111049,-0.15320871165935476,-0.0487269674848563
